Ceres Product Code,Order (UNITS),Order (CASES),Product Description,Unit Size,Quantity,Unit Trade Price,Case Trade Price
,,,,,,,
GROCERY,,,,,,,
,,,,,,,
10343,,,Corn Flakes (Fruit Juice Sweetened),300g,Ctn 12,$5.07,$60.84
10067,,,Corn Flakes Eco Pac (Fruit Juice Sweetened),750g,Ctn 6,$13.04,$78.24
10351,,,Crispy Rice,284g,Ctn 12,$5.18,$62.16
11799,,,Crunchy Maple Sunrise,300g,Ctn 12,$6.66,$79.92
10347,,,Envirokidz Amazon Frosted Flakes,400g,Ctn 12,$5.18,$62.16
10337,,,Envirokidz Gorilla Munch,284g,Ctn 12,$5.07,$60.84
10349,,,Envirokidz Koala Crisp,325g,Ctn 12,$5.07,$60.84
11447,,,Envirokidz Leapin Lemurs,284g,Ctn 12,$5.18,$62.16
10333,,,Envirokidz Panda Puffs,300g,Ctn 12,$5.18,$62.16
10344,,,Heritage Flakes,375g,Ctn 12,$5.07,$60.84
10069,,,Heritage Flakes Eco Pac,907g,Ctn 6,$13.04,$78.24
10346,,,Honey'd Corn Flakes,300g,Ctn 12,$5.07,$60.84
10342,,,Mesa Sunrise,300g,Ctn 12,$5.07,$60.84
10068,,,Millet Rice Flakes Eco Pac,907g,Ctn 6,$13.04,$78.24
10339,,,Oaty Bites,350g,Ctn 12,$5.18,$62.16
10338,,,Optimum Flax Blueberry Power,400g,Ctn 12,$6.66,$79.92
10500,,,Puffed Corn,170g,Ctn 12,$4.03,$48.36
10499,,,Puffed Kamut,170g,Ctn 12,$4.03,$48.36
10334,,,Puffed Millet,170g,Ctn 12,$4.03,$48.36
10335,,,Puffed Rice,170g,Ctn 12,$4.03,$48.36
11323,,,Smart Bran,300g,Ctn 12,$6.66,$79.92
,,,BREAKFAST CEREAL - HOT,,,,
,,,Ceres Organics,,,,
12415,,,"Brown Hot Rice Cereal w Chia, Coconut & LSA",350g,6 Outer,$6.35,$38.10
11917,,,Cereal Ground Buckwheat,400g,6 Outer,$4.34,$26.04
10329,,,Cereal Ground Millet,400g,6 Outer,$4.20,$25.20
10580,,,Cereal Ground Quinoa,400g,6 Outer,$7.82,$46.92
10328,,,Cereal Ground Rice,400g,6 Outer,$4.02,$24.12
12414,,,Millet Cereal w Quinoa & Cacao,400g,6 Outer,$6.35,$38.10
11859,,,Oat Bran (Stand Up Pouch),650g,6 Outer,$6.08,$36.48
10965,,,Oats Rolled Jumbo,1kg,8 Outer,$5.95,$47.60
11489,,,Oats Rolled Jumbo (Stand Up Pouch),700g,6 Outer,$5.07,$30.42
10843,,,Oats Rolled Quick Cook,1kg,8 Outer,$5.95,$47.60
11491,,,Oats Rolled Quick Cook (Stand Up Pouch),600g,6 Outer,$5.07,$30.42
11858,,,Oats Steel Cut (Stand Up Pouch),900g,6 Outer,$5.19,$31.14
12416,,,Paleo Grain Free Hot Cereal,300g,6 Outer,$8.67,$52.02
12403,,,Protein Oats with Chia and Almond,650g,6 Outer,$9.85,$59.10
,,,Nature's Path,,,,
10495,,,Apple Cinnamon Hot Cereal Pouch,400g,Ctn 6,$6.08,$36.48
10496,,,Maple Nut Hot Cereal Pouch,400g,Ctn 6,$6.08,$36.48
10497,,,Optimum Cinnamon Blueberry Power Hot Cereal Pouch,320g,Ctn 6,$6.08,$36.48
11052,,,Variety Pack Hot Cereals,400g,Ctn 6,$6.08,$36.48
,,,Planet,,,,
12170,,,Porridge Rice / Millet,1 Kg,Ctn 6,$18.26,$109.56
,,,RETAIL PACKDOWNS - GRAINS/RICE,,,,
,,,Ceres Organics,,,,
11146,,,Amaranth,500g,6 Outer,$4.02,$24.12
12047,,,Ancient Grain Fusion (Quinoa and Long Grain Rice blend),500g,6 Outer,$6.66,$39.96
12200,,,"Andean Grain Medley (Amaranth, Canihua, Black Quinoa blend)",450g,6 Outer,$6.92,$41.52
11263,,,Buckwheat,450g,6 Outer,$3.42,$20.52
10847,,,Bulghur Wheat,500g,6 Outer,$3.47,$20.82
12165,,,Canihua,450g,6 Outer,$7.24,$43.44
12104,,,Couscous Spelt,450g,6 Outer,$5.74,$34.44
11396,,,Couscous Wholemeal,400g,6 Outer,$3.95,$23.70
12164,,,Farro,400g,6 Outer,$6.35,$38.10
12163,,,Freekeh,400g,6 Outer,$6.35,$38.10
11954,,,Kasha (Toasted Buckwheat),500g,6 Outer,$4.58,$27.48
12001,,,Kibbled Wheat,450g,6 Outer,$3.42,$20.52
10168,,,Millet Hulled,500g,6 Outer,$3.45,$20.70
10579,,,Polenta Coarse,400g,6 Outer,$3.04,$18.24
11871,,,Polenta Quick Cooking,400g,6 Outer,$3.91,$23.46
11832,,,Popping Corn,500g,6 Outer,$4.63,$27.78
10852,,,Quinoa,450g,6 Outer,$6.66,$39.96
11674,,,Quinoa Black,400g,6 Outer,$7.82,$46.92
11453,,,Quinoa Red,400g,6 Outer,$7.82,$46.92
12048,,,Quinoa-Rice Blend,500g,6 Outer,$5.65,$33.90
10401,,,Rice Arborio,500g,6 Outer,$5.07,$30.42
10173,,,Rice Basmati Brown,500g,6 Outer,$4.03,$24.18
10169,,,Rice Basmati White,500g,6 Outer,$4.03,$24.18
11673,,,Rice Jasmine Brown,500g,6 Outer,$3.76,$22.56
11672,,,Rice Jasmine White,500g,6 Outer,$3.76,$22.56
11906,,,Rice Long Grain Black,500g,6 Outer,$4.35,$26.10
10170,,,Rice Long Grain Brown,500g,6 Outer,$2.87,$17.22
12046,,,"Rice Long Grain Medley (Red, Black and Brown Rice blend)",500g,6 Outer,$4.61,$27.66
11907,,,Rice Long Grain Red,500g,6 Outer,$4.49,$26.94
10319,,,Rice Medium White,500g,6 Outer,$3.18,$19.08
10320,,,Rice Short Grain Brown,500g,6 Outer,$3.33,$19.98
10945,,,Rice Sushi,500g,6 Outer,$5.07,$30.42
11580,,,Super Grain Mix (Amaranth & Quinoa Blend),400g,6 Outer,$6.92,$41.52
,,,RETAIL PACKDOWNS - PULSES & SEEDS,,,,
,,,Ceres Organics,,,,
11537,,,Adzuki Beans,450g,6 Outer,$4.34,$26.04
11783,,,Chia Seeds Black,125g,6 Outer,$3.77,$22.62
11924,,,Chia Seeds Black,400g,6 Outer,$7.24,$43.44
12077,,,Chia Seeds White,125g,6 Outer,$4.34,$26.04
10178,,,Chickpeas,500g,6 Outer,$4.32,$25.92
11260,,,Flaxseed Whole (Linseed),450g,6 Outer,$3.62,$21.72
10179,,,Lentils Brown,500g,6 Outer,$4.78,$28.68
11061,,,Lentils French Green,500g,6 Outer,$5.36,$32.16
11062,,,Lentils Green,500g,6 Outer,$4.64,$27.84
10645,,,Lentils Red Split,500g,6 Outer,$4.61,$27.66
10177,,,Mung Beans,500g,6 Outer,$5.78,$34.68
10819,,,Pumpkin Seeds,300g,6 Outer,$5.94,$35.64
12158,,,Sacha Inchi Seeds,120g,6 Outer,$5.74,$34.44
10184,,,Sesame Seed Hulled,400g,6 Outer,$4.61,$27.66
10183,,,Sesame Seed Unhulled,400g,6 Outer,$4.61,$27.66
10182,,,Sunflower Seeds,300g,6 Outer,$3.88,$23.28
,,,RETAIL PACKDOWNS - DRIED FRUIT,,,,
,,,Ceres Organics,,,,
12045,,,Antioxidant Fruit Blend,100g,6 Outer,$6.72,$40.32
10722,,,Apricots Whole Sweet Dried,350g,6 Outer,$10.98,$65.88
10719,,,Banana Chips,200g,6 Outer,$3.33,$19.98
11926,,,Blueberries,150g,6 Outer,$10.98,$65.88
11927,,,Cherries Tart,150g,6 Outer,$8.67,$52.02
12421,,,Coconut Chips,250g,6 Outer,$4.32,$25.92
11759,,,Coconut Chips,120g,6 Outer,$2.61,$15.66
12267,,,Coconut Shredded,150g,6 Outer,$3.18,$19.08
12420,,,Coconut Shredded,300g,6 Outer,$5.19,$31.14
11785,,,Cranberries,140g,6 Outer,$5.18,$31.08
12198,,,Dates Raw Deglet Noor,250g,6 Outer,$4.52,$27.12
10931,,,Figs Premium (Seasonal),250g,12 Outer,$4.20,$50.40
10885,,,Ginger Crystallised,125g,6 Outer,$3.91,$23.46
11929,,,Goji Berries,100g,6 Outer,$6.35,$38.10
11931,,,Goldenberries Incaberries (similar to cape gooseberries),100g,6 Outer,$5.19,$31.14
11875,,,Mango Slices,90g,6 Outer,$4.92,$29.52
10187,,,Raisins,300g,6 Outer,$4.34,$26.04
10186,,,Sultanas,300g,6 Outer,$4.03,$24.18
10834,,,Tomato Sundried,150g,6 Outer,$3.86,$23.16
,,,Organic Mountain,,,,
11809,,,Bananas Dried,250g,12 Outer,$5.50,$66.00
,,,Pureharvest,,,,
10185,,,Prunes (Moist Pack),250g,24 Outer,$4.34,$104.16
,,,RETAIL PACKDOWNS - NUTS,,,,
,,,Ceres Organics,,,,
10727,,,Almonds Natural Whole,250g,6 Outer,$9.56,$57.36
10941,,,Brazil Nuts,250g,6 Outer,$7.24,$43.44
12179,,,Cashews Whole Raw,250g,6 Outer,$9.83,$58.98
12400,,,Sacha Inchi Protein Powder,250g,6 Outer,$10.99,$65.94
,,,OILS,,,,
,,,Ceres Organics,,,,
11547,,,Oil Canola,500ml,6 Outer,$6.90,$41.40
11801,,,Oil Coconut (High Heat),600g,6 Outer,$10.14,$60.84
11488,,,Oil Coconut (High Heat),200ml,6 Outer,$5.51,$33.06
11239,,,Oil Coconut (Virgin),200ml,6 Outer,$8.11,$48.66
11802,,,Oil Coconut (Virgin),600g,6 Outer,$17.38,$104.28
12085,,,Oil Coconut Raw Virgin,200ml,6 Outer,$8.57,$51.42
10359,,,Oil Olive Extra Virgin,500ml,6 Outer,$10.65,$63.90
11915,,,Oil Roasting & Frying (Sunflower/Sesame Blend),500ml,6 Outer,$8.67,$52.02
12152,,,Oil Sacha Inchi,250ml,6 Outer,$12.72,$76.32
10366,,,Oil Safflower,500ml,6 Outer,$9.56,$57.36
11416,,,Oil Sesame Toasted,250ml,6 Outer,$6.81,$40.86
10367,,,Oil Sesame Virgin (Cold Pressed),500ml,6 Outer,$11.56,$69.36
10368,,,Oil Sunflower,500ml,6 Outer,$6.95,$41.70
,,,SWEETENERS,,,,
,,,Ceres Organics,,,,
10813,,,Barley Malt,400g,6 Outer,$5.76,$34.56
12217,,,Coconut Nectar,400g,6 Outer,$8.09,$48.54
12171,,,Rice Syrup (Brown),400g,6 Outer,$5.76,$34.56
10372,,,Sugar Brown (Demerara),500g,6 Outer,$2.88,$17.28
12076,,,Sugar Coconut,400g,6 Outer,$6.92,$41.52
12423,,,Sugar Coconut,700g,6 Outer,$10.41,$62.46
10370,,,Sugar Golden,500g,6 Outer,$2.46,$14.76
10730,,,Sugar Icing,350g,6 Outer,$2.75,$16.50
11886,,,Sugar Panela,350g,6 Outer,$3.45,$20.70
11887,,,Sugar Rapadura,350g,6 Outer,$3.45,$20.70
,,,Natural Value,,,,
10377,,,Maple Syrup A Grade,236ml,12 Outer,$10.14,$121.68
10607,,,Maple Syrup B Grade,946ml,12 Outer,$36.23,$434.76
,,,Wholesome Foods,,,,
11180,,,Agave Syrup Blue,333ml,6 Outer,$6.66,$39.96
11259,,,Agave Syrup Raw Blue,666g,6 Outer,$10.72,$64.32
12028,,,Coconut Sugar,454g,6 Outer,$9.24,$55.44
10373,,,Molasses Blackstrap,944ml,12 Outer,$10.87,$130.44
10374,,,Molasses Blackstrap,472ml,12 Outer,$7.39,$88.68
12026,,,Stevia,35x1g,6 Outer,$5.76,$34.56
11179,,,Sugar Dark Brown,681g,6 Outer,$6.35,$38.10
11177,,,Sugar Golden,454g,12 Outer,$4.60,$55.20
11178,,,Sugar Light Brown,681g,6 Outer,$6.35,$38.10
,,,BAKING - FLOURS,,,,
,,,Casalare,,,,
11669,,,Flour Self Raising,500g,10 Outer,$5.12,$51.20
,,,Ceres Organics,,,,
11877,,,Flour Amaranth (Stand Up),1kg,6 Outer,$5.79,$34.74
11895,,,Flour Besan (Stand Up),800g,6 Outer,$5.76,$34.56
12155,,,Flour Buckwheat (Stand Up),450g,6 Outer,$4.00,$24.00
11262,,,Flour Buckwheat (Stand Up),1kg,6 Outer,$7.24,$43.44
11835,,,Flour Chickpea (Stand Up),800g,6 Outer,$6.35,$38.10
12157,,,Flour Coconut (Stand Up),400g,6 Outer,$4.00,$24.00
11896,,,Flour Coconut (Stand Up),800g,6 Outer,$6.81,$40.86
11663,,,Flour Maize Corn (Stand Up),800g,6 Outer,$5.50,$33.00
11876,,,Flour Millet (Stand Up),1kg,6 Outer,$6.35,$38.10
12013,,,Flour Oat (Stand Up),800g,6 Outer,$4.92,$29.52
12384,,,Flour Potato Starch (Stand Up),400g,6 Outer,$4.32,$25.92
12154,,,Flour Quinoa (Stand Up),400g,6 Outer,$5.76,$34.56
11546,,,Flour Quinoa (Stand Up),800g,6 Outer,$8.69,$52.14
11041,,,Flour Rice Brown (Stand Up),1kg,6 Outer,$5.77,$34.62
11261,,,Flour Rice White (Stand Up),1kg,6 Outer,$5.77,$34.62
11784,,,Flour Rye (Stand Up),800g,6 Outer,$4.49,$26.94
12382,,,Flour Spelt White (Stand Up),400g,6 Outer,$5.48,$32.88
10400,,,Flour Spelt White (Stand Up),1kg,6 Outer,$9.25,$55.50
12383,,,Flour Spelt Wholemeal (Stand Up),400g,6 Outer,$5.48,$32.88
10874,,,Flour Spelt Wholemeal (Stand Up),1kg,6 Outer,$8.66,$51.96
12156,,,Flour Tapioca (Stand Up),320g,6 Outer,$2.86,$17.16
11664,,,Flour Tapioca (Stand Up),800g,6 Outer,$4.92,$29.52
10175,,,Flour White Stoneground,1.5kg,6 Outer,$7.24,$43.44
11001,,,Flour White Stoneground (Stand Up),1kg,6 Outer,$4.78,$28.68
10732,,,Flour Wholemeal Rollermilled (Stand Up),1kg,6 Outer,$4.92,$29.52
11000,,,Flour Wholemeal Stoneground (Stand Up),1kg,6 Outer,$4.92,$29.52
,,,BAKING - INGREDIENTS,,,,
,,,Casalare,,,,
11668,,,Batter / Tempura Mix,450g,10 Outer,$4.71,$47.10
11667,,,Buckwheat Pancake Mix,300g,10 Outer,$3.53,$35.30
11666,,,Quinoa Pancake Mix,300g,10 Outer,$4.12,$41.20
10507,,,White Rice Crumbs,330g,10 Outer,$6.19,$61.90
,,,Ceres Organics,,,,
12146,,,Cacao Butter Raw,250g,6 Outer,$14.93,$89.58
12145,,,Cacao Nibs Raw,250g,6 Outer,$9.27,$55.62
12144,,,Cacao Powder Raw,250g,6 Outer,$9.27,$55.62
12419,,,Cacao Powder Raw,500g,6 Outer,$14.46,$86.76
10884,,,Carob Powder,150g,6 Outer,$3.45,$20.70
11742,,,Chocolate Drops,125g,6 Outer,$4.20,$25.20
12422,,,Coconut Desiccated,375g,6 Outer,$5.77,$34.62
10723,,,Coconut Desiccated,225g,6 Outer,$4.61,$27.66
10799,,,Corn Starch,150g,6 Outer,$3.77,$22.62
11685,,,Guar Gum,100g,6 Outer,$4.93,$29.58
12049,,,Maca Powder Raw,400g,6 Outer,$28.96,$173.76
12050,,,Maca Powder Raw,120g,6 Outer,$11.57,$69.42
12231,,,Rice Crumbs Jasmine gluten free,350g,6 Outer,$4.05,$24.30
,,,Nature's Path,,,,
11045,,,Buttermilk Pancake Mix,738g,Ctn 6,$8.40,$50.40
,,,Planet,,,,
11089,,,Cacao (not RAW),175g,Ctn 6,$6.81,$40.86
,,,Rapunzel,,,,
10389,,,Carob Powder,250g,6 Outer,$5.65,$33.90
10624,,,Cocoa Powder,250g,6 Outer,$8.08,$48.48
10664,,,Yeast Granules Active,9g,Ctn 40,$1.45,$58.00
,,,Supernatural,,,,
10378,,,Raising Powder,180g,6 Outer,$5.47,$32.82
10379,,,Raising Powder,1kg,1 Kg,$17.95,$17.95
,,,BAKING - SALTS/HERBS/SPICES,,,,
,,,Bragg,,,,
11977,,,Seasoning - Sea Kelp Delight,76.5g,12 Outer,$4.60,$55.20
11976,,,Seasoning Sprinkle - Herbs & Spices,42.5g,12 Outer,$4.93,$59.16
,,,Ceres Organics,,,,
10708,,,Herb Salt,125g,12 Outer,$3.45,$41.40
12394,,,Savoury Yeast Flakes (Organic Seasoning),50g,6 Outer,$4.03,$24.18
11336,,,Sea Salt (Unrefined Natural - Pouch),500g,6 Outer,$2.87,$17.22
11975,,,Vanilla Extract,50ml,Ctn 12,$5.77,$69.24
,,,Planet,,,,
11417,,,Basil Herb,15g,Ctn 6,$3.76,$22.56
11909,,,Cinnamon Shaker,45g,Ctn 6,$4.25,$25.50
11420,,,Coriander Leaf Herb,15g,Ctn 6,$3.25,$19.50
11910,,,Cumin Ground,55g,Ctn 6,$4.25,$25.50
11911,,,Cumin Seed,45g,Ctn 6,$4.25,$25.50
11913,,,Fenugreek Seed,75g,Ctn 6,$4.25,$25.50
11423,,,Oregano Herb,15g,Ctn 6,$3.25,$19.50
11914,,,Paprika,50g,Ctn 6,$4.25,$25.50
11427,,,Thyme Herb,25g,Ctn 6,$3.25,$19.50
11428,,,Tumeric Spice,60g,Ctn 6,$4.35,$26.10
,,,Redmond,,,,
10380,,,Salt Redmond Real (Rock Salt - Pouch),737g,12 Outer,$11.45,$137.40
10856,,,Salt Redmond Real (Rock Salt - Shaker),252g,12 Outer,$6.81,$81.72
,,,Spices of Fiji,,,,
12224,,,Garam Masala Powder,50g,Each,$2.89,$2.89
12219,,,Ground Cardamon,15g,Each,$3.47,$3.47
12221,,,Ground Cinnamon,50g,Each,$2.89,$2.89
12226,,,Ground Ginger,50g,Each,$3.47,$3.47
12227,,,Ground Tumeric,50g,Each,$3.47,$3.47
12223,,,Hot Curry Powder,50g,Each,$2.89,$2.89
12225,,,Masala Powder,50g,Each,$2.89,$2.89
12222,,,Mild Curry Powder,50g,Each,$2.89,$2.89
12229,,,Vanilla Beans,2 Pods,Each,$5.53,$5.53
12230,,,Vanilla Beans,5 Pods,Each,$10.99,$10.99
12228,,,Vanilla Bits,5g,Each,$3.01,$3.01
12220,,,Whole Cardamon,15g,Each,$3.47,$3.47
,,,Spike,,,,
10612,,,Spike Seasoning,85g,Ctn 6,$5.07,$30.42
,,,Supernatural,,,,
10383,,,Natural Sea Salt Unrefined (Shaker),150g,6 Outer,$2.58,$15.48
,,,PROC FOODS - (CONDIMENTS) OLIVES PICKLES,,,,
,,,Ceres Organics,,,,
12029,,,Capers,100g,6 Outer,$3.45,$20.70
12030,,,Tomatoes Sundried (in Olive Oil),180g,12 Outer,$5.20,$62.40
,,,Mediterranean Organic,,,,
11710,,,Green Olives (Red Pepper Stuffed),136g,12 Outer,$7.24,$86.88
11682,,,Kalamata Olives (Pitted),136g,12 Outer,$7.24,$86.88
11683,,,Olives Black (Pitted),136g,12 Outer,$6.23,$74.76
11763,,,"Olives, Almond Stuffed",241g,12 Outer,$7.24,$86.88
11764,,,Stuffed Grape Leaves (Dolmas),284g,12 Outer,$9.82,$117.84
,,,Rapunzel,,,,
10147,,,Kalamata Olives Black (In Brine),210g,Ctn 6,$8.66,$51.96
,,,Woodstock,,,,
11448,,,Baby Dill Kosher Pickles,710ml,Ctn 6,$8.55,$51.30
11659,,,Sauerkraut,473ml,Ctn 12,$6.34,$76.08
,,,PROC FOODS - (CONDIMENTS) PASTA SAUCE/TOMATO,,,,
,,,Ceres Organics,,,,
11903,,,Passata (glass),680g,Ctn 6,$2.29,$13.74
11696,,,Passata With Basil (glass),720ml,12 Outer,$2.29,$27.48
,,,Rapunzel,,,,
10520,,,Tomato Paste,100g,Ctn 12,$2.17,$26.04
,,,Zito,,,,
10876,,,Pasta Sauce Arrabiata,690g,Ctn 6,$5.62,$33.72
10533,,,Pasta Sauce Basilico (Tomato / Basil),690g,Ctn 6,$5.62,$33.72
12197,,,Pasta Sauce Basilico (Tomato/Basil),350,12 Outer,$3.44,$41.28
10877,,,Pasta Sauce Meditteranean,690g,Ctn 6,$6.35,$38.10
10531,,,Pasta Sauce Napolitana (Tomato / Garlic),690g,Ctn 6,$5.62,$33.72
12196,,,Pasta Sauce Napolitana (Tomato Garlic),350g,12 Outer,$3.44,$41.28
10878,,,Pasta Sauce Puttanesca (Olive & Caper),690g,Ctn 6,$6.35,$38.10
10537,,,Tomato Paste,190g,Ctn 12,$2.17,$26.04
10536,,,Tomato Puree,350g,Ctn 12,$2.03,$24.36
,,,"PROC FOODS - (CONDIMENTS) DRESSINGS, SAUCES",,,,
,,,Ceres Organics,,,,
11607,,,Ketchup,290ml,6 Outer,$5.65,$33.90
,,,Field Day,,,,
11749,,,Classic Ranch Dressing,236ml,12 Outer,$5.65,$67.80
11735,,,Dressing Balsamic Vinaigrette,236ml,12 Outer,$5.65,$67.80
11751,,,Lemon Tahini Dressing,236ml,12 Outer,$5.65,$67.80
12130,,,Medium Salsa,453g,12 Outer,$5.65,$67.80
12131,,,Roasted Garlic Salsa,453g,12 Outer,$5.65,$67.80
,,,Natural Value,,,,
10155,,,Mustard Dijon,226g,12 Outer,$3.33,$39.96
11485,,,Mustard Horseradish,226g,12 Outer,$3.33,$39.96
10443,,,Mustard Stoneground,226g,12 Outer,$3.33,$39.96
10444,,,Mustard Yellow,226g,12 Outer,$3.33,$39.96
,,,Ozganics,,,,
11269,,,Dressing Avocado (seasonal),250ml,Ctn 6,$5.79,$34.74
11508,,,Dressing Balsamic  (seasonal),250ml,Ctn 6,$5.79,$34.74
11509,,,Dressing Caesar  (seasonal),250ml,Ctn 6,$5.79,$34.74
11267,,,Dressing Italian  (seasonal),250ml,Ctn 6,$5.79,$34.74
11959,,,Marinade / Sauce Smokey BBQ,350ml,Ctn 6,$6.08,$36.48
11960,,,Marinade / Sauce Teriyaki,350ml,Ctn 6,$6.08,$36.48
11849,,,Sauce BBQ,250ml,Ctn 6,$6.08,$36.48
11848,,,Sauce Sweet Chilli,250ml,Ctn 6,$6.08,$36.48
11787,,,Simmer Sauce Butter Chicken,375g,Ctn 6,$6.08,$36.48
11850,,,Simmer Sauce Lemon Chicken,375g,Ctn 6,$6.08,$36.48
11788,,,Simmer Sauce Roghan Josh,375g,Ctn 6,$6.08,$36.48
11851,,,Simmer Sauce Spicy Lamb Tagine,375g,Ctn 6,$6.08,$36.48
11790,,,Simmer Sauce Thai Green Curry,360g,Ctn 6,$6.08,$36.48
11791,,,Simmer Sauce Thai Red Curry,360g,Ctn 6,$6.08,$36.48
11789,,,Simmer Sauce Tikka Masala,375g,Ctn 6,$6.08,$36.48
,,,Spectrum,,,,
10438,,,Mayonnaise (Soy),452g,12 Outer,$8.98,$107.76
,,,Woodstock,,,,
12027,,,Tomato Ketchup (Upside Down Bottle),560ml,12 Outer,$6.35,$76.20
,,,PROC FOODS - (CONDIMENTS) LIQUID SEASONINGS,,,,
,,,ACV Health Products,,,,
11158,,,Vinegar Apple Cider (Plastic Bottle),750ml,12 Outer,$5.18,$62.16
11159,,,Vinegar Apple Cider w Manuka Honey (Plastic Bottle),750ml,12 Outer,$9.56,$114.72
,,,Bragg,,,,
10441,,,All Purpose Seasonings (Liquid Aminos),473ml,12 Outer,$6.12,$73.44
10442,,,All Purpose Seasonings (Liquid Aminos),946ml,12 Outer,$10.10,$121.20
10440,,,All Purpose Spray (Liquid Aminos),180ml,24 Outer,$4.35,$104.40
10451,,,Vinegar Apple Cider,473ml,12 Outer,$4.50,$54.00
10452,,,Vinegar Apple Cider,946ml,12 Outer,$7.50,$90.00
,,,Ceres Naturals,,,,
11415,,,Vinegar Umeboshi (Asian Kitchen Range Natural),250ml,6 Outer,$4.49,$26.94
11414,,,Vinegar Umeboshi Premium (Asian Kitchen Range Natural),250ml,6 Outer,$5.19,$31.14
,,,Ceres Organics,,,,
11412,,,Mirin,250ml,6 Outer,$9.71,$58.26
11894,,,Ponzu Sauce (citrus),250ml,6 Outer,$10.87,$65.22
11409,,,Shoyu (Asian Kitchen Range),250ml,6 Outer,$4.92,$29.52
11494,,,Soy Sauce (Asian Kitchen Range),250ml,6 Outer,$4.92,$29.52
11525,,,Tamari (Asian Kitchen Range),750ml,6 Outer,$11.55,$69.30
11408,,,Tamari (Asian Kitchen Range),250ml,6 Outer,$4.78,$28.68
11605,,,Vinegar Balsamic,500ml,6 Outer,$7.51,$45.06
11413,,,Vinegar Brown Rice (Asian Kitchen Range),250ml,6 Outer,$5.15,$30.90
10988,,,Vinegar Red Wine,500ml,6 Outer,$6.81,$40.86
10989,,,Vinegar White Wine,500ml,6 Outer,$6.81,$40.86
,,,Coral Tree,,,,
10445,,,Vinegar Apple Cider,750ml,12 Outer,$8.06,$96.72
,,,"PROC FOODS - (MEAL PREP) NOODLES, GRAIN PRODUCTS",,,,
,,,Ceres Organics,,,,
10872,,,TVP Fine (Texturised Vege Protein),100g,6 Outer,$2.90,$17.40
,,,Explore Asian,,,,
12413,,,Rice Noodles Thai Brown Pad Thai,226g,6 Outer,$3.77,$22.62
12412,,,Rice Noodles Thai Red Pad Thai,226g,6 Outer,$3.77,$22.62
12411,,,Rice Noodles Thai Red Vermicelli,226g,6 Outer,$3.77,$22.62
,,,Garden of Eatin,,,,
11102,,,Taco Shells - Yellow Corn (Short BB Dates),155g,Ctn 12,$5.20,$62.40
,,,Sea Tangle Noodle,,,,
11991,,,Kelp Noodles,340g,12 Outer,$5.50,$66.00
,,,PROC FOODS - (MEAL PREP) SOUPS,,,,
,,,Ceres Organics,,,,
11656,,,Soup Classic Mediterranean (can),400g,12 Outer,$2.04,$24.48
12088,,,Soup Mix Ancient Grains,500g,6 Outer,$5.21,$31.26
11934,,,Soup Mix Country,500g,6 Outer,$4.20,$25.20
12215,,,Soup Mix World Heritage,450g,6 Outer,$5.21,$31.26
11654,,,Soup Tomato Basil (can),400g,12 Outer,$2.04,$24.48
11655,,,Soup Tuscan Bean (can),400g,12 Outer,$2.04,$24.48
,,,Imagine,,,,
10831,,,Soup Chicken Broth Free Range,473ml,Ctn 12,$3.03,$36.41
10828,,,Soup Creamy Tomato,473ml,Ctn 12,$3.19,$38.30
,,,Pacific,,,,
11918,,,Broth Chicken (tetra),946ml,Ctn 12,$5.18,$62.16
11919,,,Broth Chicken Low Sodium (tetra),946ml,Ctn 12,$5.18,$62.16
11920,,,Broth Vegetable (tetra),946ml,Ctn 12,$5.18,$62.16
11921,,,Broth Vegetable Low Sodium(tetra),946ml,Ctn 12,$5.18,$62.16
12395,,,Soup Spicy Black Bean & Kale,503ml,Carton 12,$4.32,$51.84
12396,,,Soup Vegetable Quinoa,503ml,Carton 12,$4.32,$51.84
,,,Rapunzel,,,,
10143,,,Soup Cubes w Herbs (bouillon),8x10.5g,Ctn 12,$2.61,$31.32
10140,,,Soup Cubes w Vege & Sea Salt (bouillon),8x10.5g,Ctn 12,$2.61,$31.32
11741,,,Vegetable Powder Broth (bouillon yeast free),160g,Ctn 6,$5.07,$30.42
10142,,,Vegetable Powder Broth (bouillon),125g,Ctn 6,$5.07,$30.42
,,,PROC FOODS - (MEAL PREP) PASTA,,,,
,,,Ancient Harvest,,,,
10407,,,Quinoa Pagoda Pasta,227g,12 Outer,$5.36,$64.32
,,,Casalare,,,,
11890,,,Boxed Alphabet Noodles,375g,6 Outer,$6.37,$38.22
11366,,,Boxed Cannelloni,125g,6 Outer,$4.02,$24.12
11888,,,Boxed Classic Rigatoni,250g,6 Outer,$4.02,$24.12
11889,,,Boxed Classic Spirals,250g,6 Outer,$4.02,$24.12
11892,,,Boxed Fettucine,250g,10 Outer,$4.40,$44.00
11368,,,Boxed Garlic Parsley Spirals,250g,6 Outer,$4.02,$24.12
11365,,,Boxed Lasagne Sheets,250g,6 Outer,$5.10,$30.60
11370,,,Boxed Macaroni Twists,250g,6 Outer,$4.02,$24.12
11891,,,Boxed Spaghetti,250g,10 Outer,$4.40,$44.00
11369,,,Boxed Vege Penne,250g,6 Outer,$4.02,$24.12
10409,,,Brown Rice Twists,250g,10 Outer,$4.92,$49.20
10408,,,Garden Vege Shells,250g,10 Outer,$3.90,$39.00
