Ceres Product Code,Order (UNITS),Order (CASES),Product Description,Unit Size,Quantity,Unit Trade Price,Case Trade Price
,,,,,,,
GROCERY,,,,,,,
,,,,,,,
,,,BEVERAGE - CARBONATED DRINKS,,,,
,,,Kombucha Wonder,,,,
11709,,,Kombucha Drink Asian Pear & Ginger (bottle),414ml,12 Outer,$4.00,$48.00
11734,,,Kombucha Drink Asian Pear & Ginger (can),250ml,Ctn 24,$2.26,$54.24
11933,,,Kombucha Drink Cherry Cassis (bottle),414ml,12 Outer,$4.00,$48.00
12087,,,Kombucha Drink Cherry Cassis(can),250ml,Ctn 24,$2.26,$54.24
11782,,,Kombucha Drink Essence of Lemon (bottle),414ml,12 Outer,$4.00,$48.00
11905,,,Kombucha Drink Green Tea and Lemon (can),250ml,Ctn 24,$2.26,$54.24
12106,,,Kombucha Drink Niagara Grape (bottle),414ml,12 Outer,$4.00,$48.00
11708,,,Kombucha Drink Traditional (bottle),414ml,12 Outer,$4.00,$48.00
11733,,,Kombucha Drink Traditional (can),250ml,Ctn 24,$2.26,$54.24
,,,Robinvale,,,,
10221,,,Grape Ginger Juice (Sparkling),750ml,12 Outer,$9.13,$109.56
10223,,,Grape Juice Red Lambrusco (Sparkling),750ml,12 Outer,$10.00,$120.00
,,,Whole Earth,,,,
11812,,,Cola Sparkling Drink,330ml,Ctn 24,$1.71,$41.04
11811,,,Cranberry Sparkling Drink,330ml,Ctn 24,$1.71,$41.04
11814,,,Ginger Sparkling Drink,330ml,Ctn 24,$1.71,$41.04
11813,,,Lemonade Sparkling Drink,330ml,Ctn 24,$1.71,$41.04
,,,BEVERAGE - TEA,,,,
,,,Hampstead Teas,,,,
12081,,,Black Vanilla Tea,20 Bag,6 Outer,$4.32,$25.92
11602,,,Darjeeling Tea,25 Bag,6 Outer,$3.76,$22.56
11184,,,Earl Grey Tea,25 Bag,6 Outer,$3.76,$22.56
11182,,,English Breakfast Tea,25 Bag,6 Outer,$3.76,$22.56
11191,,,Fennel Liquorice Tea,20 Bag,6 Outer,$3.76,$22.56
11185,,,Ginger Green Tea,25 Bag,6 Outer,$3.76,$22.56
11601,,,Green Jasmine Tea,25 Bag,6 Outer,$3.76,$22.56
11183,,,Green Tea,25 Bag,6 Outer,$3.76,$22.56
12080,,,Lemon and Orange Tea,20 bag,6 Outer,$4.32,$25.92
11189,,,Lemon Ginger Tea,20 Bag,6 Outer,$3.76,$22.56
11190,,,Lemon Valerian Tea,20 Bag,6 Outer,$3.76,$22.56
11187,,,Mint Green Tea,25 Bag,6 Outer,$3.76,$22.56
11599,,,Peppermint Spearmint Tea,20 Bag,6 Outer,$3.76,$22.56
12079,,,Red Fruits Tea,20 bag,6 Outer,$4.32,$25.92
11188,,,Rosehip Hibiscus Tea,20 Bag,6 Outer,$3.76,$22.56
,,,Heath & Heather,,,,
12181,,,Fennel Tea,20 Bag,12 Outer,$3.42,$41.04
